日期时间 (UTC+8),校准后_Unix时间戳,原始_LAS_GPS时间戳,状态,该秒内点数
2024-02-28 14:51:48,1709103108,393137957.037333,航班 1,224626
2024-02-28 14:51:49,1709103109,393137958.037333,间隔于 1 & 2,233224
2024-02-28 14:51:50,1709103110,393137959.037333,间隔于 1 & 2,240182
2024-02-28 14:51:51,1709103111,393137960.037333,间隔于 1 & 2,236422
2024-02-28 14:51:52,1709103112,393137961.037333,间隔于 1 & 2,237461
2024-02-28 14:51:53,1709103113,393137962.037333,间隔于 1 & 2,237596
2024-02-28 14:51:54,1709103114,393137963.037333,间隔于 1 & 2,234480
2024-02-28 14:51:55,1709103115,393137964.037333,间隔于 1 & 2,236785
2024-02-28 14:51:56,1709103116,393137965.037333,间隔于 1 & 2,231898
2024-02-28 14:51:57,1709103117,393137966.037333,间隔于 1 & 2,216767
2024-02-28 14:51:58,1709103118,393137967.037333,间隔于 1 & 2,244964
2024-02-28 14:51:59,1709103119,393137968.037333,间隔于 1 & 2,238778
2024-02-28 14:52:00,1709103120,393137969.037333,间隔于 1 & 2,238801
2024-02-28 14:52:01,1709103121,393137970.037333,间隔于 1 & 2,216265
2024-02-28 14:52:02,1709103122,393137971.037333,间隔于 1 & 2,214815
2024-02-28 14:52:03,1709103123,393137972.037333,间隔于 1 & 2,236243
2024-02-28 14:52:04,1709103124,393137973.037333,间隔于 1 & 2,232677
2024-02-28 14:52:05,1709103125,393137974.037333,间隔于 1 & 2,236720
2024-02-28 14:52:06,1709103126,393137975.037333,间隔于 1 & 2,228167
2024-02-28 14:52:07,1709103127,393137976.037333,间隔于 1 & 2,221726
2024-02-28 14:52:08,1709103128,393137977.037333,间隔于 1 & 2,224348
2024-02-28 14:52:09,1709103129,393137978.037333,间隔于 1 & 2,230850
2024-02-28 14:52:10,1709103130,393137979.037333,间隔于 1 & 2,226920
2024-02-28 14:52:11,1709103131,393137980.037333,间隔于 1 & 2,225459
2024-02-28 14:52:12,1709103132,393137981.037333,间隔于 1 & 2,223999
2024-02-28 14:52:13,1709103133,393137982.037333,间隔于 1 & 2,229240
2024-02-28 14:52:14,1709103134,393137983.037333,间隔于 1 & 2,237904
2024-02-28 14:52:15,1709103135,393137984.037333,间隔于 1 & 2,240708
2024-02-28 14:52:16,1709103136,393137985.037333,间隔于 1 & 2,251514
2024-02-28 14:52:17,1709103137,393137986.037333,间隔于 1 & 2,249313
2024-02-28 14:52:18,1709103138,393137987.037333,间隔于 1 & 2,239033
2024-02-28 14:52:19,1709103139,393137988.037333,间隔于 1 & 2,227680
2024-02-28 14:52:20,1709103140,393137989.037333,间隔于 1 & 2,0
2024-02-28 14:52:21,1709103141,393137990.037333,间隔于 1 & 2,0
2024-02-28 14:52:22,1709103142,393137991.037333,间隔于 1 & 2,0
2024-02-28 14:52:23,1709103143,393137992.037333,间隔于 1 & 2,0
2024-02-28 14:52:24,1709103144,393137993.037333,间隔于 1 & 2,0
2024-02-28 14:52:25,1709103145,393137994.037333,间隔于 1 & 2,0
2024-02-28 14:52:26,1709103146,393137995.037333,间隔于 1 & 2,0
2024-02-28 14:52:27,1709103147,393137996.037333,间隔于 1 & 2,0
2024-02-28 14:52:28,1709103148,393137997.037333,间隔于 1 & 2,0
2024-02-28 14:52:29,1709103149,393137998.037333,间隔于 1 & 2,0
2024-02-28 14:52:30,1709103150,393137999.037333,间隔于 1 & 2,0
2024-02-28 14:52:31,1709103151,393138000.037333,间隔于 1 & 2,0
2024-02-28 14:52:32,1709103152,393138001.037333,间隔于 1 & 2,0
2024-02-28 14:52:33,1709103153,393138002.037333,间隔于 1 & 2,0
2024-02-28 14:52:34,1709103154,393138003.037333,间隔于 1 & 2,0
2024-02-28 14:52:35,1709103155,393138004.037333,间隔于 1 & 2,0
2024-02-28 14:52:36,1709103156,393138005.037333,间隔于 1 & 2,0
2024-02-28 14:52:37,1709103157,393138006.037333,间隔于 1 & 2,0
2024-02-28 14:52:38,1709103158,393138007.037333,间隔于 1 & 2,0
2024-02-28 14:52:39,1709103159,393138008.037333,间隔于 1 & 2,0
2024-02-28 14:52:40,1709103160,393138009.037333,间隔于 1 & 2,0
